#	PRJNA699369 (Duke / Chen et al. Clin Cancer Res 2022) run manifest
#	NOTE: this cohort ALSO names patients CRPC1/CRPC2/CRPC3. These are NOT our
#	CRPC1-3. Every sample here is prefixed "Duke_" so the two never collide.
#	CD49f (ITGA6) high = basal-enriched, low = luminal-enriched; all Trop2+CD45-.
#	srr	sample	patient	tissue	sort_gate	spots
SRR13644609	Duke_CRPC1	CRPC1	CRPC	none	483363438
SRR13644608	Duke_CRPC2_CD49fhi	CRPC2	CRPC	CD49f_high	1164368205
SRR13644607	Duke_CRPC2_CD49flo	CRPC2	CRPC	CD49f_low	357360002
SRR13644615	Duke_CRPC3	CRPC3	CRPC	none	343387382
SRR13644617	Duke_PCa1T_CD49fhi	PCa1	tumor	CD49f_high	383718105
SRR13644616	Duke_PCa1T_CD49flo	PCa1	tumor	CD49f_low	284180226
SRR13644614	Duke_PCa2B_CD49fhi	PCa2	benign	CD49f_high	341843394
SRR13644613	Duke_PCa2B_CD49flo	PCa2	benign	CD49f_low	324462938
SRR13644612	Duke_PCa2T_CD49flo	PCa2	tumor	CD49f_low	455157524
SRR13644611	Duke_PCa3B	PCa3	benign	none	859743805
SRR13644610	Duke_PCa3T	PCa3	tumor	none	1201099196
