Gene name	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
mt-Tf			
mt-Rnr1			
mt-Tv			
mt-Rnr2			
mt-Tl1			
mt-Nd1	MT-ND1	ortholog_one2one	1
mt-Ti			
mt-Tq			
mt-Tm			
mt-Nd2	MT-ND2	ortholog_one2one	1
mt-Tw			
mt-Ta			
mt-Tn			
mt-Tc			
mt-Ty			
mt-Co1	MT-CO1	ortholog_one2one	1
mt-Ts1			
mt-Td			
mt-Co2	MT-CO2	ortholog_one2one	1
mt-Tk			
mt-Atp8	MT-ATP8	ortholog_one2one	0
mt-Atp6	MT-ATP6	ortholog_one2one	1
mt-Co3	MT-CO3	ortholog_one2one	1
mt-Tg			
mt-Nd3	MT-ND3	ortholog_one2one	1
mt-Tr			
mt-Nd4l	MT-ND4L	ortholog_one2one	1
mt-Nd4	MT-ND4	ortholog_one2one	1
mt-Th			
mt-Ts2			
mt-Tl2			
mt-Nd5	MT-ND5	ortholog_one2one	1
mt-Nd6	MT-ND6	ortholog_one2one	1
mt-Te			
mt-Cytb	MT-CYB	ortholog_one2one	1
mt-Tt			
mt-Tp			
			
	PRAMEF17	ortholog_many2many	0
	PRAMEF12	ortholog_many2many	0
	PRAMEF1	ortholog_many2many	0
	PRAMEF19	ortholog_many2many	0
	PRAMEF20	ortholog_many2many	0
	PRAMEF6	ortholog_many2many	0
	PRAMEF18	ortholog_many2many	0
	PRAMEF10	ortholog_many2many	0
	PRAMEF2	ortholog_many2many	0
	PRAMEF33	ortholog_many2many	0
	PRAMEF11	ortholog_many2many	0
	PRAMEF26	ortholog_many2many	0
	PRAMEF9	ortholog_many2many	0
	PRAMEF13	ortholog_many2many	0
	PRAMEF5	ortholog_many2many	0
	PRAMEF4	ortholog_many2many	0
	PRAMEF25	ortholog_many2many	0
	PRAMEF14	ortholog_many2many	0
	PRAMEF8	ortholog_many2many	0
	PRAMEF15	ortholog_many2many	0
	PRAMEF27	ortholog_many2many	0
	PRAMEF7	ortholog_many2many	0
Vmn1r186			
	PRAMEF17	ortholog_many2many	0
	PRAMEF12	ortholog_many2many	0
	PRAMEF1	ortholog_many2many	0
	PRAMEF19	ortholog_many2many	0
	PRAMEF20	ortholog_many2many	0
	PRAMEF6	ortholog_many2many	0
	PRAMEF18	ortholog_many2many	0
	PRAMEF10	ortholog_many2many	0
	PRAMEF2	ortholog_many2many	0
	PRAMEF33	ortholog_many2many	0
	PRAMEF11	ortholog_many2many	0
	PRAMEF26	ortholog_many2many	0
	PRAMEF9	ortholog_many2many	0
	PRAMEF13	ortholog_many2many	0
	PRAMEF5	ortholog_many2many	0
	PRAMEF4	ortholog_many2many	0
	PRAMEF25	ortholog_many2many	0
	PRAMEF14	ortholog_many2many	0
	PRAMEF8	ortholog_many2many	0
	PRAMEF15	ortholog_many2many	0
	PRAMEF27	ortholog_many2many	0
	PRAMEF7	ortholog_many2many	0
			
			
			
			
	PRAMEF17	ortholog_many2many	0
	PRAMEF12	ortholog_many2many	0
	PRAMEF1	ortholog_many2many	0
	PRAMEF19	ortholog_many2many	0
	PRAMEF20	ortholog_many2many	0
	PRAMEF6	ortholog_many2many	0
	PRAMEF18	ortholog_many2many	0
	PRAMEF10	ortholog_many2many	0
	PRAMEF2	ortholog_many2many	0
	PRAMEF33	ortholog_many2many	0
	PRAMEF11	ortholog_many2many	0
	PRAMEF26	ortholog_many2many	0
	PRAMEF9	ortholog_many2many	0
	PRAMEF13	ortholog_many2many	0
	PRAMEF5	ortholog_many2many	0
	PRAMEF4	ortholog_many2many	0
	PRAMEF25	ortholog_many2many	0
	PRAMEF14	ortholog_many2many	0
	PRAMEF8	ortholog_many2many	0
	PRAMEF15	ortholog_many2many	0
	PRAMEF27	ortholog_many2many	0
	PRAMEF7	ortholog_many2many	0
	PRAMEF17	ortholog_many2many	0
	PRAMEF12	ortholog_many2many	0
	PRAMEF1	ortholog_many2many	0
	PRAMEF19	ortholog_many2many	0
	PRAMEF20	ortholog_many2many	0
	PRAMEF6	ortholog_many2many	0
	PRAMEF18	ortholog_many2many	0
	PRAMEF10	ortholog_many2many	0
	PRAMEF2	ortholog_many2many	0
	PRAMEF33	ortholog_many2many	0
	PRAMEF11	ortholog_many2many	0
	PRAMEF26	ortholog_many2many	0
	PRAMEF9	ortholog_many2many	0
	PRAMEF13	ortholog_many2many	0
	PRAMEF5	ortholog_many2many	0
	PRAMEF4	ortholog_many2many	0
	PRAMEF25	ortholog_many2many	0
	PRAMEF14	ortholog_many2many	0
	PRAMEF8	ortholog_many2many	0
	PRAMEF15	ortholog_many2many	0
	PRAMEF27	ortholog_many2many	0
	PRAMEF7	ortholog_many2many	0
	SP100	ortholog_one2many	0
	PISD	ortholog_one2many	0
	SP110	ortholog_one2many	0
			
			
